metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
adfs.federated_authentications,,authentications,authentications/s,"Authentications from Federated Sources",line,,go.d.plugin,windows
adfs.federation_metadata_requests,,requests,requests/s,"Federation Metadata requests",line,,go.d.plugin,windows
adfs.oauth_authorization_requests,,requests,requests/s,"Incoming requests to the OAuth Authorization endpoint",line,,go.d.plugin,windows
adfs.oauth_client_authentications,,"success, failure",authentications/s,"OAuth client authentications",line,,go.d.plugin,windows
adfs.oauth_client_credentials_requests,,"success, failure",requests/s,"OAuth client credentials requests",line,,go.d.plugin,windows
adfs.oauth_client_privkey_jwt_authentications,,"success, failure",authentications/s,"OAuth client private key JWT authentications",line,,go.d.plugin,windows
adfs.oauth_client_secret_basic_authentications,,"success, failure",authentications/s,"OAuth client secret basic authentications",line,,go.d.plugin,windows
adfs.oauth_client_secret_post_authentications,,"success, failure",authentications/s,"OAuth client secret post authentications",line,,go.d.plugin,windows
adfs.oauth_client_windows_authentications,,"success, failure",authentications/s,"OAuth client windows integrated authentications",line,,go.d.plugin,windows
adfs.oauth_logon_certificate_requests,,"success, failure",requests/s,"OAuth logon certificate requests",line,,go.d.plugin,windows
adfs.oauth_password_grant_requests,,"success, failure",requests/s,"OAuth password grant requests",line,,go.d.plugin,windows
adfs.oauth_token_requests_success,,success,requests/s,"Successful RP token requests over OAuth protocol",line,,go.d.plugin,windows
adfs.passive_requests,,passive,requests/s,"Passive requests",line,,go.d.plugin,windows
adfs.passport_authentications,,passport,authentications/s,"Microsoft Passport SSO authentications",line,,go.d.plugin,windows
adfs.password_change_requests,,"success, failure",requests/s,"Password change requests",line,,go.d.plugin,windows
adfs.samlp_token_requests_success,,success,requests/s,"Successful RP token requests over SAML-P protocol",line,,go.d.plugin,windows
adfs.sso_authentications,,"success, failure",authentications/s,"SSO authentications",line,,go.d.plugin,windows
adfs.token_requests,,requests,requests/s,"Token access requests",line,,go.d.plugin,windows
adfs.userpassword_authentications,,"success, failure",authentications/s,"AD U/P authentications",line,,go.d.plugin,windows
adfs.windows_integrated_authentications,,authentications,authentications/s,"Windows integrated authentications using Kerberos or NTLM",line,,go.d.plugin,windows
adfs.wsfed_token_requests_success,,success,requests/s,"Successful RP token requests over WS-Fed protocol",line,,go.d.plugin,windows
adfs.wstrust_token_requests_success,,success,requests/s,"Successful RP token requests over WS-Trust protocol",line,,go.d.plugin,windows
netframework.clrexception_thrown,process,exceptions,exceptions/s,"Thrown exceptions",line,process,go.d.plugin,windows
netframework.clrexception_filters,process,filters,filters/s,"Executed exception filters",line,process,go.d.plugin,windows
netframework.clrexception_finallys,process,finallys,finallys/s,"Executed finally blocks",line,process,go.d.plugin,windows
netframework.clrexception_throw_to_catch_depth,process,traversed,stack_frames/s,"Traversed stack frames",line,process,go.d.plugin,windows
netframework.clrinterop_com_callable_wrappers,process,com_callable_wrappers,ccw/s,"COM callable wrappers (CCW)",line,process,go.d.plugin,windows
netframework.clrinterop_interop_marshallings,process,marshallings,marshallings/s,"Arguments and return values marshallings",line,process,go.d.plugin,windows
netframework.clrinterop_interop_stubs_created,process,created,stubs/s,"Created stubs",line,process,go.d.plugin,windows
netframework.clrjit_methods,process,jit-compiled,methods/s,"JIT-compiled methods",line,process,go.d.plugin,windows
netframework.clrjit_time,process,time,percentage,"Time spent in JIT compilation",line,process,go.d.plugin,windows
netframework.clrjit_standard_failures,process,failures,failures/s,"JIT compiler failures",line,process,go.d.plugin,windows
netframework.clrjit_il_bytes,process,compiled_msil,bytes/s,"Compiled Microsoft intermediate language (MSIL) bytes",line,process,go.d.plugin,windows
netframework.clrloading_loader_heap_size,process,committed,bytes,"Memory committed by class loader",line,process,go.d.plugin,windows
netframework.clrloading_appdomains_loaded,process,loaded,domain/s,"Loaded application domains",line,process,go.d.plugin,windows
netframework.clrloading_appdomains_unloaded,process,unloaded,domain/s,"Unloaded application domains",line,process,go.d.plugin,windows
netframework.clrloading_assemblies_loaded,process,loaded,assemblies/s,"Loaded assemblies",line,process,go.d.plugin,windows
netframework.clrloading_classes_loaded,process,loaded,classes/s,"Loaded classes in all assemblies",line,process,go.d.plugin,windows
netframework.clrloading_class_load_failures,process,class_load,failures/s,"Class load failures",line,process,go.d.plugin,windows
netframework.clrlocksandthreads_queue_length,process,threads,threads/s,"Threads waited to acquire a managed lock",line,process,go.d.plugin,windows
netframework.clrlocksandthreads_current_logical_threads,process,logical,threads,"Logical threads",line,process,go.d.plugin,windows
netframework.clrlocksandthreads_current_physical_threads,process,physical,threads,"Physical threads",line,process,go.d.plugin,windows
netframework.clrlocksandthreads_recognized_threads,process,threads,threads/s,"Threads recognized by the runtime",line,process,go.d.plugin,windows
netframework.clrlocksandthreads_contentions,process,contentions,contentions/s,"Fails to acquire a managed lock",line,process,go.d.plugin,windows
netframework.clrmemory_allocated_bytes,process,allocated,bytes/s,"Memory allocated on the garbage collection heap",line,process,go.d.plugin,windows
netframework.clrmemory_finalization_survivors,process,survived,objects,"Objects that survived garbage-collection",line,process,go.d.plugin,windows
netframework.clrmemory_heap_size,process,heap,bytes,"Maximum bytes that can be allocated",line,process,go.d.plugin,windows
netframework.clrmemory_promoted,process,promoted,bytes,"Memory promoted to the next generation",line,process,go.d.plugin,windows
netframework.clrmemory_number_gc_handles,process,used,handles,"Garbage collection handles",line,,go.d.plugin,windows
netframework.clrmemory_collections,process,gc,gc/s,"Garbage collections",line,process,go.d.plugin,windows
netframework.clrmemory_induced_gc,process,gc,gc/s,"Garbage collections induced",line,process,go.d.plugin,windows
netframework.clrmemory_number_pinned_objects,process,pinned,objects,"Pinned objects encountered",line,process,go.d.plugin,windows
netframework.clrmemory_number_sink_blocks_in_use,process,used,blocks,"Synchronization blocks in use",line,process,go.d.plugin,windows
netframework.clrmemory_committed,process,committed,bytes,"Virtual memory committed by GC",line,process,go.d.plugin,windows
netframework.clrmemory_reserved,process,reserved,bytes,"Virtual memory reserved by GC",line,process,go.d.plugin,windows
netframework.clrmemory_gc_time,process,time,percentage,"Time spent on GC",line,process,go.d.plugin,windows
netframework.clrremoting_channels,process,registered,channels/s,"Registered channels",line,process,go.d.plugin,windows
netframework.clrremoting_context_bound_classes_loaded,process,loaded,classes,"Loaded context-bound classes",line,process,go.d.plugin,windows
netframework.clrremoting_context_bound_objects,process,allocated,objects/s,"Allocated context-bound objects",line,process,go.d.plugin,windows
netframework.clrremoting_context_proxies,process,objects,objects/s,"Remoting proxy objects",line,process,go.d.plugin,windows
netframework.clrremoting_contexts,process,contexts,contexts,"Total of remoting contexts",line,process,go.d.plugin,windows
netframework.clrremoting_remote_calls,process,rpc,calls/s,"Remote Procedure Calls (RPC) invoked",line,process,go.d.plugin,windows
netframework.clrsecurity_link_time_checks,process,linktime,checks/s,"Link-time code access security checks",line,process,go.d.plugin,windows
netframework.clrsecurity_checks_time,process,time,percentage,"Time spent performing runtime code access security checks",line,process,go.d.plugin,windows
netframework.clrsecurity_stack_walk_depth,process,stack,depth,"Depth of the stack",line,process,go.d.plugin,windows
netframework.clrsecurity_runtime_checks,process,runtime,checks/s,"Runtime code access security checks performed",line,process,go.d.plugin,windows
exchange.activesync_ping_cmds_pending,,pending,commands,"Ping commands pending in queue",line,,go.d.plugin,windows
exchange.activesync_requests,,received,requests/s,"HTTP requests received from ASP.NET",line,,go.d.plugin,windows
exchange.activesync_sync_cmds,,processed,commands/s,"Sync commands processed",line,,go.d.plugin,windows
exchange.autodiscover_requests,,processed,requests/s,"Autodiscover service requests processed",line,,go.d.plugin,windows
exchange.avail_service_requests,,serviced,requests/s,"Requests serviced",line,,go.d.plugin,windows
exchange.owa_current_unique_users,,logged-in,users,"Unique users currently logged on to Outlook Web App",line,,go.d.plugin,windows
exchange.owa_requests_total,,handled,requests/s,"Requests handled by Outlook Web App",line,,go.d.plugin,windows
